Quarter,Minute,Second,Down,ToGo,YardLine,PointDiff,PlayType
1,7,0,3,15,53,0,1
2,5,1,2,2,75,-4,1
3,12,37,2,3,50,5,0
2,12,59,1,10,25,-3,1
4,11,9,1,10,25,3,0
3,0,6,2,7,51,7,0
2,10,28,1,10,20,-19,1
3,9,4,2,13,31,19,1
2,0,38,3,1,89,-1,1
4,6,55,2,9,53,19,0
2,1,40,1,1,99,6,1
4,13,7,2,5,56,7,1
3,5,20,2,2,24,-10,1
3,10,47,3,15,15,-10,1
2,1,50,1,10,38,-3,1
1,13,48,2,7,38,0,1
4,12,15,1,10,25,-9,0
3,11,9,3,4,57,-18,1
1,12,51,2,7,51,0,1
4,0,5,1,10,38,2,1
4,3,12,1,10,30,-13,1
3,14,55,1,15,27,4,1
3,7,10,2,5,95,14,0
1,13,2,1,10,56,0,0
2,5,32,2,8,38,-10,1
4,13,41,4,1,29,-1,0
3,12,27,1,1,99,2,1
4,7,26,1,10,50,-7,1
4,10,43,1,10,45,-7,0
3,4,48,1,15,27,-7,1
2,12,27,2,8,37,7,0
2,15,0,3,7,47,0,1
1,12,43,3,3,95,0,0
2,0,30,1,10,42,-10,1
1,3,45,2,8,13,-7,1
4,1,38,1,10,7,-2,1
2,4,46,2,20,50,15,0
2,14,51,1,10,33,14,1
1,1,21,1,6,94,-14,0
2,4,11,3,2,79,14,1
1,1,8,2,16,44,0,1
4,2,0,4,21,29,-1,1
3,2,33,2,9,78,18,1
2,1,50,1,10,55,-21,1
4,13,4,1,10,72,-4,0
1,8,47,1,10,76,0,0
1,3,7,1,6,94,0,1
1,3,5,1,10,13,7,1
1,10,3,3,6,10,0,1
2,4,41,1,10,57,-9,0
3,8,44,2,3,42,-3,0
3,5,23,2,8,35,-10,1
4,1,34,3,10,69,-9,1
4,12,10,2,10,42,35,0
4,11,13,1,10,11,3,1
1,2,6,2,10,44,-7,1
5,3,31,3,15,59,-3,1
3,4,35,4,1,60,-4,0
1,13,27,1,10,30,0,0
3,12,49,1,10,30,7,1
2,1,46,1,10,79,-7,1
1,10,8,2,10,31,0,0
1,13,20,2,6,36,0,1
3,6,55,2,6,40,4,1
4,2,0,2,7,42,1,1
4,14,7,2,10,40,-13,0
2,4,30,3,2,58,0,1
2,2,0,2,8,92,-10,0
2,1,7,2,5,70,3,1
3,0,30,1,10,75,-23,1
3,3,5,2,7,51,2,0
4,7,24,1,10,62,-13,1
1,13,42,3,5,25,0,1
2,8,59,2,4,14,4,0
2,4,38,2,10,23,-35,0
4,10,38,3,2,59,3,1
3,10,43,2,7,40,-6,0
4,3,7,3,4,66,28,0
2,2,0,1,10,54,-3,0
4,2,20,1,5,95,-10,1
3,3,12,2,14,29,-3,1
3,4,31,1,10,20,-27,0
3,1,2,3,1,72,13,0
2,0,12,1,10,78,-11,1
2,6,58,1,10,70,7,0
3,0,56,1,10,20,18,0
3,11,52,3,12,61,-4,1
4,2,0,3,9,9,24,0
2,7,53,2,10,45,10,1
2,7,55,1,10,20,-3,0
2,1,25,2,8,27,3,1
1,13,20,3,7,61,0,1
1,1,31,1,5,12,7,0
2,0,11,1,10,71,0,1
1,5,38,3,1,26,-7,0
1,8,57,3,5,73,-7,1
4,10,48,2,6,94,3,1
3,15,0,1,10,25,4,1
1,10,52,1,10,72,0,0
4,2,29,3,3,97,-9,1
4,0,52,1,10,57,0,1
1,13,53,3,1,29,0,0
4,5,16,3,6,94,17,0
2,14,19,3,15,46,-10,1
3,8,37,1,10,73,-13,0
3,10,7,1,10,19,7,0
1,7,26,2,8,19,0,1
3,4,7,3,3,92,8,0
4,3,6,1,10,32,1,0
4,0,36,1,10,77,-7,1
4,4,10,3,20,68,-3,1
1,13,58,1,10,75,0,0
2,13,35,1,10,36,-7,1
3,9,47,3,10,79,5,1
3,11,5,1,20,10,-16,0
1,0,29,1,10,72,-4,0
1,2,34,3,4,75,-7,1
4,13,9,1,10,40,18,0
2,1,27,1,10,57,-12,1
1,4,32,3,7,93,0,1
